Year+Month,2010=100
2000,48.09
2000Q1,48.85
2000M01,48.57
2000M02,49.33
2000M03,48.77
2000Q2,48.10
2000M04,48.41
2000M05,48.13
2000M06,47.88
2000Q3,47.57
2000M07,47.60
2000M08,47.64
2000M09,47.56
2000Q4,47.88
2000M10,47.60
2000M11,48.05
2000M12,48.09
2001,47.88
2001Q1,48.19
2001M01,48.21
2001M02,48.41
2001M03,48.05
2001Q2,47.72
2001M04,47.80
2001M05,47.72
2001M06,47.72
2001Q3,47.69
2001M07,47.64
2001M08,47.64
2001M09,47.88
2001Q4,47.98
2001M10,47.80
2001M11,47.92
2001M12,48.33
2002,49.72
2002Q1,49.41
2002M01,48.83
2002M02,49.91
2002M03,49.51
2002Q2,49.62
2002M04,49.51
2002M05,49.65
2002M06,49.70
2002Q3,49.72
2002M07,49.65
2002M08,49.70
2002M09,49.80
2002Q4,50.10
2002M10,49.95
2002M11,50.10
2002M12,50.25
2003,51.32
2003Q1,51.35
2003M01,50.71
2003M02,51.82
2003M03,51.51
2003Q2,51.42
2003M04,51.51
2003M05,51.46
2003M06,51.30
2003Q3,51.13
2003M07,51.15
2003M08,51.10
2003M09,51.15
2003Q4,51.39
2003M10,51.05
2003M11,51.35
2003M12,51.77
2004,55.30
2004Q1,53.53
2004M01,52.33
2004M02,53.90
2004M03,54.34
2004Q2,55.08
2004M04,54.61
2004M05,55.10
2004M06,55.54
2004Q3,56.10
2004M07,55.82
2004M08,56.15
2004M09,56.32
2004Q4,56.51
2005,59.88
2005Q1,58.37
2005M01,57.40
2005M02,58.83
2005M03,58.89
2005Q2,59.52
2005M04,59.24
2005M05,59.54
2005M06,59.78
2005Q3,60.34
2005M07,60.02
2005M08,60.26
2005M09,60.74
2005Q4,61.31
2005M10,60.98
2005M11,61.23
2005M12,61.72
2006,64.33
2006Q1,63.22
2006M01,62.46
2006M02,63.77
2006M03,63.45
2006Q2,63.93
2006M04,63.58
2006M05,63.98
2006M06,64.23
2006Q3,64.71
2006M07,64.48
2006M08,64.72
2006M09,64.92
2006Q4,65.45
2006M10,65.07
2006M11,65.47
2006M12,65.81
2007,69.69
2007Q1,67.41
2007M01,66.50
2007M02,67.94
2007M03,67.79
2007Q2,68.67
2007M04,68.13
2007M05,68.65
2007M06,69.24
2007Q3,70.26
2007M07,69.89
2007M08,70.27
2007M09,70.63
2007Q4,72.43
2007M10,71.15
2007M11,72.03
2007M12,74.12
2008,85.81
2008Q1,78.47
2008M01,75.89
2008M02,78.59
2008M03,80.94
2008Q2,85.49
2008M04,82.72
2008M05,85.95
2008M06,87.79
2008Q3,89.76
2008M07,88.78
2008M08,90.17
2008M09,90.33
2008Q4,89.50
2008M10,90.16
2008M11,89.47
2008M12,88.87
2009,91.57
2009Q1,89.80
2009M01,89.15
2009M02,90.19
2009M03,90.04
2009Q2,90.79
2009M04,90.36
2009M05,90.75
2009M06,91.25
2009Q3,92.06
2009M07,91.73
2009M08,91.95
2009M09,92.52
2009Q4,93.63
2009M10,92.86
2009M11,93.37
2009M12,94.66
2010,100.00
2010Q1,97.44
2010M01,95.95
2010M02,97.83
2010M03,98.56
2010Q2,98.95
2010M04,98.70
2010M05,98.96
2010M06,99.18
2010Q3,99.83
2010M07,99.24
2010M08,99.47
2010M09,100.77
2010Q4,103.78
2010M10,101.83
2010M11,103.73
2010M12,105.78
2011,118.68
2011Q1,109.91
2011M01,107.62
2011M02,109.87
2011M03,112.25
2011Q2,118.12
2011M04,115.98
2011M05,118.54
2011M06,119.84
2011Q3,122.32
2011M07,121.24
2011M08,122.36
2011M09,123.37
2011Q4,124.35
2011M10,123.81
2011M11,124.30
2011M12,124.95
2012,129.47
2012Q1,127.42
2012M01,126.20
2012M02,127.93
2012M03,128.14
2012Q2,128.24
2012M04,128.20
2012M05,128.43
2012M06,128.10
2012Q3,129.21
2012M07,127.73
2012M08,128.53
2012M09,131.36
2012Q4,133.01
2012M10,132.48
2012M11,133.10
2012M12,133.46
2013,138.01
2013Q1,136.23
2013M01,135.13
2013M02,136.91
2013M03,136.65
2013Q2,136.64
2013M04,136.68
2013M05,136.59
2013M06,136.66
2013Q3,138.28
2013M07,137.03
2013M08,138.17
2013M09,139.63
2013Q4,140.88
2013M10,140.32
2013M11,140.80
2013M12,141.51
2014,143.64
2014Q1,142.80
2014M01,142.49
2014M02,143.27
2014M03,142.64
2014Q2,143.09
2014M04,142.76
2014M05,143.04
2014M06,143.47
2014Q3,144.20
2014M07,143.80
2014M08,144.12
2014M09,144.69
2014Q4,144.48
2014M10,144.85
2014M11,144.46
2014M12,144.12
2015,144.55
2015Q1,143.85
2015M01,143.83
2015M02,143.76
2015M03,143.97
2015Q2,144.50
2015M04,144.17
2015M05,144.40
2015M06,144.91
2015Q3,144.93
2015M07,145.10
2015M08,145.00
2015M09,144.69
2015Q4,144.93
2015M10,144.85
2015M11,144.95
2015M12,144.98
2016,148.41
2016Q1,145.66
2016M01,144.97
2016M02,145.58
2016M03,146.41
2016Q2,147.66
2016M04,146.90
2016M05,147.70
2016M06,148.38
2016Q3,148.94
2016M07,148.57
2016M08,148.72
2016M09,149.53
2016Q4,151.37
2016M10,150.77
2016M11,151.50
2016M12,151.84
2017,153.63
2017Q1,152.88
2017M01,152.54
2017M02,152.89
2017M03,153.21
2017Q2,152.59
2017M04,153.22
2017M05,152.41
2017M06,152.15
2017Q3,153.55
2017M07,152.31
2017M08,153.71
2017M09,154.62
2017Q4,155.50
2017M10,155.26
2017M11,155.47
2017M12,155.79
2018,159.07
2018Q1,157.20
2018M01,156.58
2018M02,157.72
2018M03,157.29
2018Q2,158.32
2018M04,157.42
2018M05,158.29
2018M06,159.25
2018Q3,159.90
2018M07,159.11
2018M08,159.83
2018M09,160.77
2018Q4,160.86
2018M10,161.31
2018M11,160.84
2018M12,160.43
2019,163.52
2019Q1,161.34
2019M01,160.59
2019M02,161.88
2019M03,161.54
2019Q2,162.52
2019M04,162.04
2019M05,162.84
2019M06,162.69
2019Q3,163.46
2019M07,162.98
2019M08,163.44
2019M09,163.96
2019Q4,166.75
2019M10,164.91
2019M11,166.50
2019M12,168.83
2020,168.78
2020Q1,170.31
2020M01,170.91
2020M02,170.63
2020M03,169.40
2020Q2,167.12
2020M04,166.79
2020M05,166.74
2020M06,167.84
2020Q3,168.66
2020M07,168.51
2020M08,168.63
2020M09,168.84
2020Q4,169.04
2020M10,168.99
2020M11,168.97
2020M12,169.15
2021,171.88
2021Q1,170.81
2021M01,169.25
2021M02,171.82
2021M03,171.36
2021Q2,171.58
2021M04,171.30
2021M05,171.57
2021M06,171.89
2021Q3,172.89
2021M07,172.96
2021M08,173.39
2021M09,172.32
2021Q4,172.23
2021M10,171.97
2021M11,172.52
2021M12,172.21
2022,177.31
2022Q1,174.10
2022M01,172.54
2022M02,174.27
2022M03,175.49
2022Q2,176.66
2022M04,175.82
2022M05,176.48
2022M06,177.69
2022Q3,178.63
2022M07,178.39
2022M08,178.40
2022M09,179.11
2022Q4,179.83
2022M10,179.37
2022M11,180.07
2022M12,180.04
2023,183.07
2023Q1,181.38
2023M01,180.97
2023M02,181.78
2023M03,181.37
2023Q2,180.92
2023M04,180.75
2023M05,180.77
2023M06,181.25
2023Q3,183.80
2023M07,182.07
2023M08,183.68
2023M09,185.66
2023Q4,186.19
2023M10,185.81
2023M11,186.27
2023M12,186.49
2024,...
2024Q1,188.22
2024M01,187.07
2024M02,189.01
2024M03,188.57
2024Q2,188.87
2024M04,188.71
2024M05,188.80
2024M06,189.11
2024Q3,190.19
2024M07,190.01
2024M08,190.01
2024M09,190.55